Food_Name,Type,Overview,Irritable_Bowel_Syndrome​_Score,Irritable_Bowel_Syndrome​_Reason,Obesity_Score,Obesity_Reason,Diabetes_Score,Diabetes_Reason,GI_score,Carbohydrate_content,Hyperlipidimia_Score,Hyperlipidemia_Reason,Hypertension_Score,Hypertension_Reason,Healthy,Think_Well_Score,Think_Well_Reason,Feel_Well_Score,Feel_Well_Reason,Live_Well_Score,Live_Well_Reason,Superfood,Allergens,Dietary_Restrictions,Similar_Choices,Mealtimes,Additional_food,,
Plum,1,Plums are rich in cardioprotective anthocyanins  and soluble fibre. Soluble fibre aid in weight maintenance and improves blood glucose control. ,1,Plum is high FODMAP.,4,Plums' high polyphenol content may prevent weight gain.,5,Fresh plums are considered to have a low glycemic index and can be consumed safely  in moderation.,"53
Low GI","2 whole (160 g) / serv

CHO = 9.98 g = 0.7 ex",5,In one study  consumption of plums significantly reduced LDL cholesterol levels.,5,Sodium per serv = 3.08 mg,5,1,Plums are considered moderate sources of serotonin.,1,Anthocyanins in plums are metabolised by gut bacteria to produce SCFA.,1,Plums' anti-inflammatory and antioxidative properties grant it cardioprotective benefits.,1,N/A,"Halal
Pescetarian
Lacto-vegetarian
Lacto-ovo-vegetarian 
Ovo-vegetarian
Vegan","Peach
Pomegranate
Apple
Packham Pear
Asian Pear
Fig","Breakfast
Snack",,,
Pomegranate,1,Pomegranates offer heart-healthy antioxidants that reduce the risk of heart disease  and soluble fibre which supports weight loss and better blood glucose control.,1,Pomegrante is high in FODMAP.,5,The presence of anthocyanins  tannins and much antioxidants make pomegranate protective against obesity.,5,Pomegranate has been found to improve fasting insulin and blood glucose levels. Consuming whole fruit is preferrable for blood sugar management  as opposed to drinking pomegranate juice or eating dried pomegranate.,"35
Low GI","1/2 (120 g) / serv

CHO = 9.23 g = 0.6",5,A clinical trial reported that pomegranate consumption resulted in increased levels of beneficial HDL cholesterol.,5,Sodium per serv = 2.74 mg,5,1,Pomegranate juice is believed to be protective against Parkinson's disease.,1,Pomegranate contains anthocyanins that helps increase the population of Bifidobacteria and Lactobacilli which produces SCFA.,1,Pomegranate may reduce inflammation markers and alter TMAO levels.,1,N/A,"Halal
Pescetarian
Lacto-vegetarian
Lacto-ovo-vegetarian 
Ovo-vegetarian
Vegan","Peach
Persimmon
Apple
Pear
Fig","Breakfast
Snack",,,
Pomelo,1,Pomelo provides gut healthy fibre and potassium which prevent high blood pressure  a cardiovascular risk factor. The fruit's fibre and antioxidant vitamin C also work against high blood cholesterol.,1,Pomelo is high FODMAP.,5,Pomelo  similar to grapefruit  is associated with modest weight loss.,5,A study found that pomelo fruit consumption caused minimal blood sugar fluctuations in patients with type 2 diabetes. However  it is considered a high glycemic index food  with a GI between 72 and 78 and shoud be consumed in moderation.,"72 - 78
High GI","1 piece (39 g) / serv

CHO = 2.45 g = 0.2 ex",5,Pomelo has been found to have a cholesterol-lowering effect.,5,Sodium per serv = 0.81 mg,5,1,Pomelo  similar to grapefruit  may impact the gut lumen and hence should be avoided when taking antidepressants.,1,Pomelo fibre could promote healthy intestinal bacteria and increases butyrate production.,1,Pomelo pulp prevents cholesterol absorption and binds bile acids  prompting the liver to produce new bile.,1,N/A,"Halal
Pescetarian
Lacto-vegetarian
Lacto-ovo-vegetarian 
Ovo-vegetarian
Vegan","Lime
Grapefruit
Guava
Plum
Soursop","Breakfast
Snack",,,
Rambutan,1,Fiber and antioxidants in rambutan help lower cholesterol and keep the arteries clear of cholesterol deposits. Rambutan is also high in blood pressure-lowering potassium and inflammation-lowering B vitamins.,5,Rambutan is low FODMAP.,5,The phytochemicals of rambutan have demonstrated antidiabetic effects.,5,Studies on rambutan peel were shown to have antidiabetic effects  reducing blood glucose levels.,"59
Medium GI ","4 whole (140.8 g) / serv

CHO = 9.4 g = 0.6 ex",5,Phenolics of rambutan peels have antioxidant and anti-infammatory effects which would prevent the oxidation of cholesterol.,5,Sodium per serv = 3.4 mg,5,1,Gallic acid appears to have anti-depressive effects by increasing serotonin levels in mice.,1,Gallic acid can be found in rambutan which help increase the production of SCFA in the colon.,1,Rambutan peel contains phenols which showed liver protective effects in mice.,1,N/A,"Halal
Pescetarian
Lacto-vegetarian
Lacto-ovo-vegetarian 
Ovo-vegetarian
Vegan","Banana
Honeydew
Papaya
Mangosteen
Passionfruit","Breakfast
Snack",,,
Raspberry,1,Raspberries contain several antioxidants known for their heart-health benefits  one of these antioxidants anthocyanin also has neuroprotective benefits. Fibre in raspberries support gut health and lower cholesterol levels. ,5,Raspberry is low FODMAP  up to 45g.,4,Raspberry ketones prevented weight gain in mice.,5,Antioxidants  tannins  and other nutrients in raspberries are known to improve blood sugar control and reduce insulin levels and post-meal blood sugar spikes.,"26
Low GI","1 cup (123 g) / serv

CHO = 14.6 g = 0.9 ex",5,Laboratory animal studies show a decline in cholesterol and triglyceride levels in mice whose diets are supplemented with raspberries.,5,Sodium per serv = 1.23 mg,5,1,Red raspberries  close to black raspberries  may promote GABA production.,1,Anthocyanin antioxidants in raspberries improves composition and diversity of gut bacteria  which promotes increased production of butyrate.,1,Raspberries could be liver protective by preventing accumulation of fat in the liver,1,N/A,"Halal
Pescetarian
Lacto-vegetarian
Lacto-ovo-vegetarian 
Ovo-vegetarian
Vegan","Blueberry
Blackberry
Strawberry
Red Grape
Passionfruit","Breakfast
Snack",,,
Soursop,1,Soursop contains a range of antioxidant compounds known to protect the heart and cardiovascular system. Soursop is also a source of potassium which lowers blood pressure  a heart disease risk. ,1,Soursop is high FODMAP.,4,Extract of soursop leaves has shown potential benefits for improving glucose tolerance  decreasing inflammation  and promoting weight loss in an experiment using mice.,1,Soursop is a high fibre fruit and has a low GI making it suitable for diabetes. It might also aid in glucose metabolism.,"32
Low GI","1 whole (439 g) / serv

CHO = 42.09 g = 2.8 ex",5,Soursop may have anti-lipidemic effects.,5,Sodium per serv = 5.97 mg,5,1,Soursop fruit may have anti-depressive and sedative effects by activating serotonin receptors in the brain.,1,Soursop increases the abundance of some healthy bacterial communities and decreases other communities associated with gut dysbiosis.,1,Soursop may protect the liver against chemical-induced liver damage by inhibiting the extreme metabolic changes that come with chemical-induced liver damage.,1,N/A,"Halal
Pescetarian
Lacto-vegetarian
Lacto-ovo-vegetarian 
Ovo-vegetarian
Vegan","Persimmon
Watermelon
Pomelo
Guava
Mango","Breakfast
Snack",,,
Strawberry,1,Strawberries have been shown to lower blood cholesterol levels and may aid weight loss and blood glucose control. Anthocyanins in strawberries may reduce risk for Alzheimer's disease. ,5,Strawberry is low FODMAP.,5,Strawberries were found to have antiobesity effects in human clinical studies.,5,Phenolic antioxidants in strawberries are found to have hypoglymic effects in animals.,"40
Low GI","1 cup (150 g) / serv

CHO = 3.93 g = 0.3 ex",5,Antioxidants and fiber in strawberries decrease cholesterol levels and prevents oxidation of LDL cholesterol.,5,Sodium per serv = 8.73 mg,5,1,Strawberries may boost the release of dopamine.,1,Quercetin in strawberries might encourage the growth of SCFA producing bacteria and consequently the production of SCFA.,1,Strawberries were found to reduce numerous cardiovascular risk factor.,1,N/A,"Halal
Pescetarian
Lacto-vegetarian
Lacto-ovo-vegetarian 
Ovo-vegetarian
Vegan","Blueberry
Blackberry
Plum
Raspberry
Red Grape","Breakfast
Snack",,,
Watermelon,1,Watermelon is a source of amino acid citrulline which can be converted to amino acid arginine. Arginine promotes lower blood pressure  and improves glucose metabolism. Watermelon also has antioxidant lycopene  that has anti-inflammatory effects.,1,Watermelon is high FODMAP.,5,Eating watermelon daily was shown to induce significant weight loss.,5,Watermelon juice may exhibit anti-diabetic effects by anti-oxidative and anti-inflammatory activities.,"76
High GI","1 slice (119 g) / serv

CHO = 4 g = 0.3 ex",5,Antioxidants in watermelon prevent oxidation of cholesterol. Suppplementation with watermelon extract reduced LDL cholesterol patients with hyperlipidemia  in one study.,5,Sodium per serv = 2.67 mg,5,1,L-citrulline  an amino acid found in watermelon might help reduce fatigue and aid depression.,1,Watermelon is rich in fermentable carbohydrates which are fermented by our gut bacteria to produce short chain fatty acids (SCFA). These SCFA feed the good bacteria in our gut and sustain their populations.,1,Watermelon is rich in lycopene  vitamin b1 and b6. It may also have hepato- and neuro-protective effects.,1,N/A,"Halal
Pescetarian
Lacto-vegetarian
Lacto-ovo-vegetarian 
Ovo-vegetarian
Vegan","Red Grapefruit
Pomelo
Soursop
Lychee
Mango","Breakfast
Snack",,,
Bamboo Shoot,2,Bamboo shoots are high in blood pressure-lowering potassium and antioxidants that help prevent narrowing of the arteries. Consumption of bamboo shoots has been found to lower total and LDL cholesterol levels.,5,Bamboo shoot is low FODMAP.,5,Bamboo shoot fibres are a source of cellulose  hemicellulose and lignin which could reduce weight gain.,5,Bamboo shoot fibres were found to have a blood sugar lowering effect in a mice study.,"32
Low GI","1 whole (81 g) / serv

CHO = 1 g = 0.07 ex",5,A laboratory experiment found that fibre in bamboo shoots has strong binding capacity to cholesterol  effectively preventing cholesterol absorption from food.,5,Sodium per serv = 4.31 mg,5,-1,Bamboo shoots contain good levels of nutrition.  However it naturally contains cyanogenic glycosides which can damage nervous tissue and retard growth. It is important to ensure they are properly cooked or boiled.,1,Laboratory experiments indicate that bamboo shoot fibre may increase levels of Bacteroidetes which produce propionate.,1,There is preliminary evidence that bamboo shoot fibre promotes the excretion of of bile acids and cholesterol  promoting the production of fresh bile.,1,N/A,"Halal
Pescetarian
Lacto-vegetarian
Lacto-ovo-vegetarian 
Ovo-vegetarian
Vegan","Okra
Cucumber
Zucchini
Soybean sprouts
Tomato","Lunch
Dinner",,,
Broad Bean,4,Soluble fibre in broad beans support heart health by lowering cholesterol  as well as improve blood glucose control. Polyphenols in broad beans nourish the gut bacteria  which provides anti-diabetic effects.,1,Broad bean is high FODMAP.,5,Broad beans are packed with fibre and protein which make them filling and prevent post-meal hunger.,5,The phytochemicals and fibre in broad beans grant it antidiabetic effects.,"79
High GI","1 cup (170 g) / serv

CHO = 4.08 g = 0.3 ex",5,Consuming broad beans significantly decreased LDL cholesterol levels through promotion of cholesterol excretion.,5,Sodium per serv = 5.1 mg,5,1,Germinated fava bean is a good resource of GABA-rich food.,1,In a clinical trial  obese volunteers who supplemented their diets with legume-derived fibre for 12 weeks showed increased levels of short-chain fatty acids (SCFA).,1,Broad bean  like other legumes  are linked to lower risk of cardiovascular diseases and their related risk factors.,1,Legumes,"Halal
Pescetarian
Lacto-vegetarian
Lacto-ovo-vegetarian 
Ovo-vegetarian
Vegan","Kidney Bean
Lima Bean
Soybean
Black Bean
Chickpea","Lunch
Dinner
Snack","kidney bean
black bean
chickpea",,
Lima Bean,4,Lima beans are particularly high in soluble fiber which reduces cholesterol levels  and improve glucose metabolism. They are also a source of iron  which is vital for producing red blood cells.,1,Lima bean is high in FODMAP.,5,Pulses such as lima beans may help to increase satiety and hence promote weight loss.,1,Lima beans are high in fiber and have a low glycemic index  which means they do not tend to cause spikes in blood sugar. Studies show that lima bean consumption improves glycaemic control in diabetics and non-diabetics alike.,"32
Low GI","1 cup (188 g) / serv

CHO = 39.3 g =  2.6 ex",5,Lima beans have shown to help reduce total and LDL cholesterols.,5,Sodium per serv = 3.76 mg,5,1,Lima beans are rich in manganese  a vital mineral for the conversion of glutamate to GABA precursor glutamine.,1,Lima beans are rich in fermentable carbohydrates which are fermented by our gut bacteria to produce short chain fatty acids (SCFA). These SCFA feed the good bacteria in our gut and sustain their populations.,1,Soluble fibre reduces levels of TMAO  a metabolite made by our gut bacteria. Elevated levels of it has been associated with greater risks of cardiovascular diseases  type 2 diabetes  and obesity.,1,Legumes,"Halal
Pescetarian
Lacto-vegetarian
Lacto-ovo-vegetarian 
Ovo-vegetarian
Vegan","Kidney Bean
Broad Bean
Soybean
Black Bean
Chickpea","Lunch
Dinner
Snack","kidney bean
black bean
chickpea",,
Soybean,4,Soybeans contain resistant starch that feeds our gut bacteria  supporting the populations of our beneficial healthy bacteria. Soybeans also provide abundant blood pressure-lowering potassium  offering cardioprotective benefits as well.,1,Soybean is high FODMAP.,5,The intake of soybeans protein might help with reduce weight gain and body adipose tissue.,5,Soybean consumption may have protective effects for insulin-producing cells in the pancreas.,"14
Low GI","1 cup (172 g) / serv

CHO = 17.06 g = 1.1 ex",5,Soybeans contain components such as isoflavones  lecithins  saponins and fiber that may improve cardiovascular health.,5,Sodium per serv = 1.72 mg,5,1,Soybeans have resistant starch which gets fermented by our gut bacteria into short-chain fatty acids. These short-chain fatty acids nourish the gut lining and maintain the integrity of it. Soy foods also support the growth of bifidobacteria and lactobacilli to protect our guts from pathogens.,1,Soy oligosaccharides increases the abundance in SCFA-producing bacteria in our gut.,1,Soybean protein modifies the gut microbiota-dependent biotransformation of bile acids and might aid with dietary fat digestion.,1,Soy,"Halal
Pescetarian
Lacto-vegetarian
Lacto-ovo-vegetarian 
Ovo-vegetarian
Vegan","Kidney Bean
Broad Bean
Lima Bean
Black Bean
Chickpea","Lunch
Dinner
Snack","kidney bean
black bean
chickpea",,
Black Soybean,4,Black soya bean contains polyphenol antioxidants that keep arteries clear and reduce the overall risk of cardiovascular disease. Isoflavone compounds in soybeans may have protective effects against osteoporosis and cognitive decline.,1,Black soybean is high FODMAP.,5,Black soya bean is similar to the more common yellow variety but with a darkly pigmented outer coat that gives it its characteristic black color. Black soya beans contain 120 calories  7g of fiber  and 8g of carbohydrates. Soy fiber promotes weight loss in overweight adults  according to research.,1,In a 12-week clinical trial  diets supplemented with soya fiber resulted in significantly lower fasting blood glucose in overweight adult participants.,"14
Low GI","1 cup (176 g) / serv

CHO = 54.56 g = 3.64 ex",5,Supplementation with soya fiber significantly lowered LDL (bad) cholesterol levels in a clinical trial with overweight adults.,5,Sodium per serv = 63.36 mg,5,1,Black soy beans are plant-based source of tryptophan which is a precursor to serotonin  a neurotransmitter which induces feelings of happiness.,1,Certain soya peptides (short protein molecules) have been found to increase levels of butyrate-producing bacteria.,1,Soluble fibre reduces levels of TMAO  a metabolite made by our gut bacteria. Elevated levels of it has been associated with greater risks of cardiovascular diseases  type 2 diabetes  and obesity.,1,Soy,"Halal
Pescetarian
Lacto-vegetarian
Lacto-ovo-vegetarian 
Ovo-vegetarian
Vegan","Kidney Bean
Broad Bean
Lima Bean
Soybean
Chickpea","Lunch
Dinner
Snack","kidney bean
chickpea",,
Beetroot,2,Beetroot's anthocyanins protect the heart and blood vessels by preventing the oxidation of cholesterol. Fibre in beetroot also supports weight loss  and slow glucose absorption.,1,Beeroot is high FODMAP.,5,Beetroot leaves supplements reduce body weight and BMI in overweight and obese individuals.,5,It is suggested the polyphenols in beetroot are responsible for its anti-diabetic effects and positive impact on insulin resistance.,"64
Medium GI","1 whole (240 g) / serv

CHO = 14.78 g = 0.98 ex",5,Nitrates in beetroot have been found to lower LDL cholesterol levels in some patients with hypertension  according to a clinical study.,5,Sodium per serv = 94.08 mg,5,1,Beetroot may have protective effects against parkinson's disease through antioxidative activities.,1,Betalains and phenolic antioxidant compounds in beetroot increase production of butyrate by gut bacteria  according to research.,1,In a clinical trial  overweight adults consumed a beetroot supplement for 12 weeks. Tests revealed significant improvement in gallbladder volume and the rate and volume of bile released by the gallbladder.,1,N/A,"Halal
Pescetarian
Lacto-vegetarian
Lacto-ovo-vegetarian 
Ovo-vegetarian
Vegan","Cauliflower
Red Cabbage
Lima Bean
Leek","Lunch
Dinner",Asparagus,,
Black Olive  fresh,2,Black olives are a good source of dietary fiber and vitamin E  both of which confer cardioprotective benefits. Vitamin E may also support good skin health  while fibre promotes weight loss.,5,Black olive is low FODMAP.,5,Though high in fat  olives are considered to have a low calorie density  meaning the number of calories relative to a food's weight or volume. As such  black olives are filling  which can lead to less calorie consumption overall and may aid in weight loss  according to studies.,5,Hydroxytyrosol in olives may improve insulin sensitivity.,"15
Low GI","5 olives (27 g) / serv

CHO = 0.15 g = 0.01 ex",5,Olive polyphenols were shown to inhibit oxidation of LDL cholesterol into arterial plaque.,5,Sodium per serv = 10.8 mg,5,1,Olive oil was found to increase serotonin levels in rats.,1,Consumption of olive oil was found to increase the population of Clostridium which produces butyrate.,1,Healthy oil in olives stimulates bile flow and prompts the liver to produce bile.,0,N/A,"Halal
Pescetarian
Lacto-vegetarian
Lacto-ovo-vegetarian 
Ovo-vegetarian
Vegan","Zucchini
Okra
Corn
Leek
Cucumber","Snack
Lunch
Dinner",,,
Broccoli,2,Broccoli is a source of quercetin which nourishes the gut bacteria  preventing leaky gut. Broccoli is also a source of sulforaphane  which may offer neuroprotective benefits.,5,Broccoli is low FODMAP  up to 47g.,5,In a human study  there was a notable decrease in body fat mass after 70 days of consuming broccoli sprouts.,5,Broccoli is chock full of sulforaphane which is reported to have anti-diabetic effects  increasing insulin levels and decreasing blood glucose levels.,"32
Low GI","1/2 cup (79.8 g) / serv

CHO = 4.04 g = 0.27 ex",5,A family of compounds in broccoli called glucosinolates has cholesterol-lowering effects.,5,Sodium per serv = 20.75 mg,5,1,Sulfuraphane in broccoli has been reported to inhibit the development of many neurodegenerative diseases like Alzheimer's and Parkinson's. This neuro-protective effect may cause anti-oxidative and anti-neuroinflammaory effects. ,1,Broccoli consumption showed a 10% increase in Bacteroidetes and 8% increase in Bacteroides  both of which are propionate-producing bacteria.,1,Lutein in broccoli is antioxidative and has been shown to have cardioprotective effects.,1,N/A,"Halal
Pescetarian
Lacto-vegetarian
Lacto-ovo-vegetarian 
Ovo-vegetarian
Vegan","Cauliflower
Leek
Kale
Celery
Spinach","Lunch
Dinner",,,
Brussel Sprout,2,Brussels sprouts are an excellent source of vitamin K  which regulates blood clotting and reduces risk for coronary artery disease. They also provide quercetin which promotes gut microbial diversity.,5,Brussel sprout is low FODMAP up to 38g.,5,Brussels sprouts are high in fiber  low in calories and full of nutrients. They help control appetite by reducing levels of the appetite-stimulating hormone leptin  and are an excellent addition to a healthy weight loss diet.,5,High intake of cruciferous vegetables like brussel sprouts is often associated with reduced risk of diabetes.,"15
Low GI","1/2 cup (78 g) / serv

CHO = 5.54 g = 0.4 ex",5,Galactolipids in brussel sprouts appear to have anti-inflammatory effects which may be protective against atherosclerosis.,5,Sodium per serv = 16.4 mg,5,1,Brussel sprouts provide 32mg of choline per 1/2 cup  choline is used to make neurotransmitter acetycholine.,1,Brussel sprouts were found to increase butyrate and acetate production in rats.,1,Choline in brussel sprouts does not raise TMAO levels. In fact consumption of cruciferous vegetables promotes cardiovascular health and overall longevity.,1,N/A,"Halal
Pescetarian
Lacto-vegetarian
Lacto-ovo-vegetarian 
Ovo-vegetarian
Vegan","Red Cabbage
Kale
Lettuce
Leek
Celery","Lunch
Dinner",,,
Red Cabbage,2,Red cabbage contain an abundance of heart-healthy anthocyanins  reducing the risk of heart disease. These anthocyanins also support the populations of our beneficial gut bacteria.,5,Red cabbage up to 89g is low FODMAP.,5,Red cabbage extracts have shown to increase butyric acid up by 4 folds. Butyric acid is a short chain fatty acid that is produced by our gut which might have anti-obesogenic effects.,5,Red cabbage is rich in anthocyanins which have been shown to improve the insulin and glucose profiles in both healthy and type II diabetic people.,"32
Low GI","1/2 cup (75 g) / serv

CHO = 5.2 g = 0.35 ex",5,Antioxidants in red cabbage may have a significant cholesterol-lowering effect  according to animal studies.,5,Sodium per serv = 21 mg,5,1,Red cabbage is high in vitamin C and contains moderate amounts of vitamin B6  which are necessary co-factors for production of serotonin.,1,Compounds in cabbage called glucosinolates provide a source of energy for benefitical gut bacteria  improving their composition and function  which promotes increased production of butyrate.,1,Laboratory animal studies indicate that consumption of brassica vegetables  such as cabbage  promote liver health by increasing levels of glutathione  an important antioxidant the liver uses in its detoxification activities. By promoting liver health  red cabbage helps ensure that the liver can produce adequate amount of healthy bile.,1,N/A,"Halal
Pescetarian
Lacto-vegetarian
Lacto-ovo-vegetarian 
Ovo-vegetarian
Vegan","Kale
Lettuce
Brussel Sprout
Leek
Spinach","Lunch
Dinner",,,
Red Capsicum,2,Red capsicums are loaded with antioxidants that help fight heart disease by improving blood lipid levels. They are also rich in fibre which aid in weight loss and blood glucose control.,5,Red capsicum is low FODMAP.,4,Red capsicum extracts displayed anti-diabetic effects in preliminary research.,5,Red capsicums exhibit anti-diabetic effects by impeding the breakdown of starch into glucose  dampening the rise in blood sugar levels.,"32
Low GI","1 whole (160 g) / serv

CHO = 4.14 g = 0.3 ex",5,Multiple studies have indicated that red capsicums lower blood lipids and prevent hypertension which is one of hyperlipidemia's risk factors.,5,Sodium per serv = 2.37 mg,5,1,Red peppers are high in vitamin C and fibre. Both which are healthful nutrients for your gut.,1,Preliminary research indicates that red pepper consumption may increase levels of some beneficial bacteria  which would lead to increased production of butyrate.,1,Red capsicum is high in flavonoids luteolin and apigenin  both are known to have cardioprotective effects through antioxidative activities.,1,N/A,"Halal
Pescetarian
Lacto-vegetarian
Lacto-ovo-vegetarian 
Ovo-vegetarian
Vegan","Tomato
Zucchini
Okra
Cucumber
Soybean Sprout","Lunch
Dinner",,,
Carrot,2,Carrot is packed with fibre and nutrients but low in calories  making it an ideal food for weight loss. They also carry carotenoid antioxidants which promote gut micriobiome diversity as well as better heart health.,5,Carrot is low FODMAP.,5,Carrots were found to inhibit post-meal hunger  and subsequently reduce food intake for the rest of the day in a human study.,5,A study reported carrots to significantly lower blood glucose levels in diabetic laboratory animals.,"39
Low GI","1 whole (206 g) / serv

CHO = 21.59 g = 1.4 ex",5,Carrot juice is suggested to prevent the formation of arterial plaque from lipid peroxidation.,5,Sodium per serv = 135.96 mg,5,1,Carrots are a good source of plant-derived GABA.,1,A carrot polysaccharide  rhamnogalacturonan-I  has been shown to increase the production of acetate and propionate.,1,Lutein and beta-carotene found in carrots are hepatoprotective as antioxidants which prevent oxidative damage to the liver.,1,N/A,"Halal
Pescetarian
Lacto-vegetarian
Lacto-ovo-vegetarian 
Ovo-vegetarian
Vegan","Red Capsicum
Pumpkin
Tomato
White Potato","Lunch
Dinner
Snack",Radish,,
Cauliflower,2,Fiber and antioxidants in cauliflower protect heart health by reducing cholesterol levels and preventing oxidation of cholesterol. Cauliflower is also a source of sulforaphane  which may confer neuroprotective benefits.,1,Cauliflower is high in FODMAP.,5,Cauliflower is high in fibre  which helps keep you full longer and reduce your energy intake to lose weight.,5,Sulforafane in cauliflower has been found to improve glucose control in type 2 diabetes.,"15
Low GI","1 cup (124 g) / serv

CHO = 5.1 g = 0.34 ex",5,Cauliflowers are rich in beta-sitosterol which may have cholesterol-lowering properties. ,5,Sodium per serv = 18.6 mg,5,1,Half a cup of cauliflower provides 24mg of choline which is used to make neurotransmitter acetylcholine.,1,Cruciferous vegetables like cauliflower may inhibit the growth of hydrogen sulfide producing bacteria  allowing lactic acid bacteria to grow more easily and produce more SCFA.,1,Indole-3-carhinol in cruciferous vegetables like cauliflower prevent liver fibrosis.,1,N/A,"Halal
Pescetarian
Lacto-vegetarian
Lacto-ovo-vegetarian 
Ovo-vegetarian
Vegan","Broccoli
Kale
Brussel Sprout
Red Cabbage
Lettuce","Lunch
Dinner",,,
Celery,2,Celery fiber helps lower cholesterol levels and its high potassium content helps lower blood pressure. Additionally  it contains a compound called luteolin  which may inhibit cognitive dysfunction.,1,Celery is high FODMAP.,4,3-N-butylphthalide  a bioactive compound in celery  may have anti-obesity properties.,5,Flavanoids luteolin and apigenin in celery have been shown to have hypoglycemic effects.,"32
Low GI","1 cup (119 g) / serv

CHO = 2.87 g = 0.19 ex",5,Phthalide compounds in celery lower cholesterol levels.,5,Sodium per serv = 10.71 mg,5,1,In a mice study  celery extract was found to protect the dopamine-producing neurons.,1,Celery contains the bioflavonoid apigenin  which has been found to increase butyrate production by some gut bacteria.,1,Celery is packed with antioxidants like luteolin  ferulic acid  and kaemperfol. Antioxidants combat oxidative stress which impair heart and liver health.,1,N/A,"Halal
Pescetarian
Lacto-vegetarian
Lacto-ovo-vegetarian 
Ovo-vegetarian
Vegan","Zucchini
Lettuce
Leek
Red Cabbage
Okra","Lunch
Dinner 
Snack",,,
Coriander,2,Coriander is a source of quercetin which promotes gut microbial diversity  and in turn prevents the growth of pathogens in our gut. Coriander may also prevent high blood pressure and high blood cholesterol.,5,Coriander is low in FODMAP.,5,Coriander enhances the flavor of food without adding extra calories or fat to your meals.,5,Preliminary research indicates that coriander may lower blood sugar and prevent post-meal blood sugar spikes by inhibiting an enzyme that breaks down starch into absorbable simple sugars.,"32
Low GI","1 cup (54 g) / serv

CHO = 1.51 g = 0.1 ex",4,Coriander may lower cholesterol levels by decreasing the digestion and absorption of fats.,4,Sodium per serv = 2.16 mg,5,1,Research indicates that Chinese parsley may have anti-anxiety effects by influencing receptors for GABA.,1,Coriander has been shown to protect the liver from toxin exposure in rats.,1,Consumption of vegetables is recommended to prevent gallstones which may impair fat digestion.,1,N/A,"Halal
Pescetarian
Lacto-vegetarian
Lacto-ovo-vegetarian 
Ovo-vegetarian
Vegan","Soybean Sprout
Celery
Kale
Spinach
Brussel Sprout","Lunch
Dinner","Dill
Basil
Thyme
Rosemary
Parsley",,
Corn,2,Corn has resistant starch which nourishes our gut bacteria and promotes a diverse gut microbiome. It is also a source of potassium which prevents high blood pressure  a cardiovascular risk factor. ,5,Corn up to 43g is low FODMAP.,4,Dextrin in cornstarch encourage the growth of SCFA producing bacteria. Increasing colon levels of SCFA may prevent obesity.,1,Soluble corn fibre is found to prevent blood sugar from spiking. However  corn has a moderate GI of 60 and high GL of 20  and should be eaten in controlled amounts.,"52
Low GI","1 cup (164 g) / serv

CHO = 41.16 g = 2.74 ex

Will consider a snack",5,Phytosterols in corn helps to block absorption of cholesterol.,5,Sodium per serv = 27.88 mg,5,1,Soluble corn fibre promoted the growth of lactobacilli which many of which produce GABA.,1,Soluble corn fibre was found to stimulate growth of propionate-producing Bifidobacteria.,1,Albumin peptides in corn were found to protect alcohol-induced liver damage in mice.,1,N/A,"Halal
Pescetarian
Lacto-vegetarian
Lacto-ovo-vegetarian 
Ovo-vegetarian
Vegan","Carrot
Red Capsicum","Lunch
Dinner
Snack","Pumpkin
Butternut squash
Yellow sweet potato",,
Cucumber,2,Cucumber is low in calories and fat but also a source of vitamins and minerals  so it is an ideal food for weight loss. As cucumber is also low in carbohydrates  it is suitable for diabetic diets.,5,Cucumber is low FODMAP.,5,Cucumbers are low energy dense and have a high water content  making it filling to lower food intake.,5,The flavonoids of cucumber  especially its peel  have displayed anti-diabetic properties by reducing elevated blood glucose levels.,"21
Low GI","1 whole (270 g) / serv

CHO = 6.52 g = 0.43 ex",5,Cucumber peel may lower LDL and triglyceride levels and raise HDL levels according to results from a preliminary study.,5,Sodium per serv = 24.92 mg,5,1,Having fermented cucumbers is a good way to introduce lactic acid probiotics to your diet.,1,Pectin in cucumber are fermentable by gut bacteria to produce SCFA.,1,Cucumber juice displayed hepatoprotective effects against alcohol-induced liver damage in rats.,1,N/A,"Halal
Pescetarian
Lacto-vegetarian
Lacto-ovo-vegetarian 
Ovo-vegetarian
Vegan","Tomato
Zucchini
Okra
Soybean Sprout
Lettuce","Lunch
Dinner
Snack",,,
