Food_Name,Overview,Type,Irritable_Bowel_Syndrome​_Score,Irritable_Bowel_Syndrome​_Reason,Obesity_Score,Obesity_Reason,Source,Diabetes_Score,Diabetes_Reason,Carbohydrate_content,Source,Hyperlipidimia_Score,Hyperlipidemia_Reason,Source,Hypertension_Score,Hypertension_Reason,Healthy,Think_Well_Score,Think_Well_Reason_,Feel_Well_Score,Feel_Well_Reason,Live_Well_Score,Live_Well_Reason,"Gut_Superfood_or_Fermented_food_=_1,_else_0",Allergens,Dietary_Restrictions,Similar_Choices,Mealtimes,Additional_food,Healthier_alternatives,
Corn,"Corn has resistant starch which nourishes our gut bacteria and promotes a diverse gut microbiome. It is also a source of potassium which prevents high blood pressure, a cardiovascular risk factor. ",1,5,Corn up to 43g is low FODMAP.,Y,Dextrin in cornstarch encourage the growth of SCFA producing bacteria. Increasing colon levels of SCFA may prevent obesity.,"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6835694/
https://pubmed.ncbi.nlm.nih.gov/27155867/",1,"Soluble corn fibre is found to prevent blood sugar from spiking. However, corn has a moderate GI of 60 and high GL of 20, and should be eaten in controlled amounts.","1 cup (164 g) / serv

CHO = 41.16 g = 2.74 ex

Will consider a snack","https://pubmed.ncbi.nlm.nih.gov/32235569/
https://care.diabetesjournals.org/content/diacare/suppl/2008/09/18/dc08-1239.DC1/TableA2_1.pdf",5,Phytosterols in corn helps to block absorption of cholesterol.,https://pubmed.ncbi.nlm.nih.gov/9555952/,5,Sodium per serv = 27.88 mg,5,1,Soluble corn fibre promoted the growth of lactobacilli which many of which produce GABA.,1,Soluble corn fibre was found to stimulate growth of propionate-producing Bifidobacteria.,1,Albumin peptides in corn were found to protect alcohol-induced liver damage in mice.,1,N/A,"Halal
Pescetarian
Lacto-vegetarian
Lacto-ovo-vegetarian 
Ovo-vegetarian
Vegan","Carrot
Red Capsicum","Lunch
Dinner","Pumpkin
Butternut squash
Yellow sweet potato",,
Corn Chowder,"Corn provides resistant starch which feeds the gut bacteria. Corn also has vitamin A precusors, vitamin A is crucial for maintaining vision. If made with low fat milk in place of cream, corn chowder would also be a lean source of protein.",1,5,Corn chowder in portion up to 23g is low FODMAP.,y,"Corn offers fibre which helps to induce feelings of being full which helps with weight loss. If made with little fat from butter, oil, and cream, corn chowder could be a nutritious addition to a weight loss diet.",https://fdc.nal.usda.gov/fdc-app.html#/food-details/169998/nutrients,5,"Corn when eaten in moderation can be part of a healthy diabetic diet. It is rich in fibre and carbohydrates. When eating corn, do take note that every 1/2 cup of corn contains 15g of carbohydrates.","1 cup (245 g) / serv

CHO = 24.01 g = 1.6 ex

Will consider a meal",https://www.diabetescarecommunity.ca/diet-and-fitness-articles/diabetes-diet-articles/can-corn-be-part-of-a-diabetes-diet/,5,"Soluble fibre in corn helps lower total and LDL cholesterol. However, avoid cooking it with cream and butter as it would have saturated fats that raise blood cholesterol levels.","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7231297/
https://pubmed.ncbi.nlm.nih.gov/27807734/
https://pubmed.ncbi.nlm.nih.gov/30084105/",4,Sodium per serv = 619.85 mg,5,1,"Corn is a source of manganese and vitamin B6, both of which are co-factors for the synthesis of GABA and serotonin.",1,Soluble fibre in corn increased the population of bifidobacteria which produce SCFA.,1,"Corn peptides have hepatoprotective effects. They protect against alcohol-induced liver damage, possibly by reducinng ethanol levels in the blood.",0,Lactose,"Halal
Pescetarian
Lacto-vegetarian
Lacto-ovo-vegetarian 
Ovo-vegetarian
Vegan","Soybean
Black Bean
Broad Bean
Yam
Lima Bean","Lunch
Dinner",,,
Cucumber,"Cucumber is low in calories and fat but also a source of vitamins and minerals, so it is an ideal food for weight loss. As cucumber is also low in carbohydrates, it is suitable for diabetic diets.",2,5,Cucumber is low FODMAP.,Y,"Cucumbers are low energy dense and have a high water content, making it filling to lower food intake.",https://fdc.nal.usda.gov/fdc-app.html#/food-details/168409/nutrients,5,"The flavonoids of cucumber, especially its peel, have displayed anti-diabetic properties by reducing elevated blood glucose levels.","1 whole (270 g) / serv

CHO = 6.52 g = 0.43 ex",https://pubmed.ncbi.nlm.nih.gov/20614191/,5,Cucumber peel may lower LDL and triglyceride levels and raise HDL levels according to results from a preliminary study.,https://pubmed.ncbi.nlm.nih.gov/20614191/,5,Sodium per serv = 24.92 mg,5,1,Having fermented cucumbers is a good way to introduce lactic acid probiotics to your diet.,1,Pectin in cucumber are fermentable by gut bacteria to produce SCFA.,1,Cucumber juice displayed hepatoprotective effects against alcohol-induced liver damage in rats.,1,N/A,"Halal
Pescetarian
Lacto-vegetarian
Lacto-ovo-vegetarian 
Ovo-vegetarian
Vegan","Tomato
Zucchini
Okra
Soybean Sprout
Lettuce","Lunch
Dinner
Snack",,,
Dark Chocolate,"Dark chocolate has epicatechin, an antioxidant which may have heart-protective benefits. Dark chocolate has been suggested to lower blood pressure, and improve blood lipid levels. ",4,5,Dark chocolate is low FODMAP.,Y,Dark chocolate and cocoa may have anti-obesity effects by slowing fat and glucose digestion to increase satiety.,https://pubmed.ncbi.nlm.nih.gov/24000103/,5,A review of published literature found that consumption of dark chocolate significantly reduced fasting blood sugar levels.,"1 cube (20 g) / serv

CHO = 12.52 g = 0.83 ex",https://pubmed.ncbi.nlm.nih.gov/34089280/,5,Dark chocolate increases levels of beneficial HDL cholesterol and decreases levels of dangerous LDL cholesterol.,https://pubmed.ncbi.nlm.nih.gov/34089280/,5,Sodium per serv = 11 mg,5,1,Dark chocolate is a source of serotonin.,1,"Consumption of dark chocolate has been shown to support the growth of lactobacillus bacteria, which produces short chain fatty acids.",1,"Moderate consumption of dark chocolate may confer cardioprotective benefits, which may then in turn combat the cardiovascular risks associated with elevated levels of TMAO.",0,"Lactose
Soy","Halal
Pescetarian
Lacto-vegetarian
Lacto-ovo-vegetarian 
Ovo-vegetarian
Vegan","Black Tea
Green Tea
Blueberry
Blackberry
Plum",Snack,"Dark chocolate fruit bark
Dark chocolate granola
Dark chocolate muesli bars
Dark chocolate truffles
Dark chocolate drink",,
Dhal,Dhal is packed with both soluble and insoluble fibres which both promote good gut health. Lentils in dhal are also rich in antioxidants that have cardioprotective effects.,4,1,Dhal is high FODMAP.,Y,"Dhal is a low-fat source of fibre and plant protein, and would be a great addition to a healthy weight loss diet.",https://focos.hpb.gov.sg/eservices/ENCF/FoodAnalysis.aspx?p=1,1,Lentils have a low glycemic index and are a healthy carbohydrate source for diabetics when consumed in moderation. ,"1 cup (191 g) / serv

CHO = 121.09 g = 8 ex",https://www.fammed.wisc.edu/files/webfm-uploads/documents/outreach/im/handout_glycemic_index_patient.pdf,5,Soluble fiber in lentils lower cholesterol by preventing absorption of cholesterol in food.,https://pubmed.ncbi.nlm.nih.gov/31983216/,5,Sodium per serv = 64.94 mg,5,1,"Lentils are rich in manganese, a vital mineral for the conversion of glutamate to GABA precursor glutamine.",1,"Turmeric, which is used in dhal, is suggested to have cardioprotective effects by lowering total and LDL cholesterol.",1,Lentils may have bile acid binding properties. This increases the excretion of bile acids and encourage the production of fresh bile. ,0,N/A,"Halal
Pescetarian
Lacto-vegetarian
Lacto-ovo-vegetarian 
Ovo-vegetarian
Vegan","Soybean
Black Bean
Broad Bean
Chickpea Curry
Lima Bean","Breakfast
Lunch
Dinner",,,
Durian,"Durian promotes heart health by lowering blood pressure and cholesterol levels. It is also high in fibre, encouraging weight loss and better blood glucose control.",1,5,Durian is low FODMAP.,Y,"Durian is high in fibre. Fibre helps keep you full longer and reduce your energy intake to lose weight. However, durian is also an energy-dense fruit. It results in excessive energy intake if not eaten in moderation.","https://www.hsph.harvard.edu/nutritionsource/carbohydrates/fiber/
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6463093/",5,Durian's tannins and flavonoids has been shown to decrease the risk of diabetes.,"2 seeds (54 g) / serv

CHO = 15.98 g = 1 ex","https://www.mdpi.com/2304-8158/8/3/96/htm
https://pubmed.ncbi.nlm.nih.gov/29874989/
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6769509/",5,Preliminary research indicates that durian has a cholesterol-lowering effect.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6463093/,5,Sodium per serv = 1.62 mg,5,1,Durians contain vitamin B6 which is required to produce serotonin and GABA.,1,"Fermented durian was shown to improve the population of lactic acid bacteria, improving butyrate production.",1,"Durian promotes liver health by improving the liver's glycolytic ability. Additionally, fibre in durian lowers cholesterol and binds to bile acids, prompting production of fresh bile.",1,N/A,"Halal
Pescetarian
Lacto-vegetarian
Lacto-ovo-vegetarian 
Ovo-vegetarian
Vegan","Banana
Mangosteen
Papaya
Honeydew
Jackfruit",Snack,,,
Egg Prata,"High in fat and cholesterol, egg prata would elevate blood cholesterol levels and similarly raise cardiovascular risk. As a high-fat dish, it is also unsuitable for weight loss and more likely to induce weight gain.",0,1,Egg prata is high FODMAP.,N,Making and cooking egg prata uses a generous amount of oil or ghee. The high amount of fat in egg prata makes it too energy dense to be part of a weight loss diet.,https://focos.hpb.gov.sg/eservices/ENCF/FoodAnalysis.aspx?p=1,1,"Saturated fats in egg prata could impair blood glucose control by inhibiting the release of insulin from the pancreas. Adding on, as a high-fat food it would promote obesity which is a risk factor of diabetes.","1 piece (130 g) / serv

CHO = 31.21 g = 2.08 ex

Assume as a snack","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5291812/#SD1
https://pubmed.ncbi.nlm.nih.gov/33114561/",1,Eating eggs are suggested to increase blood cholesterol levels in a review of studies on healthy people.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7400894/,1,Sodium per serv = 403.14 mg,1,-1,High fat food like egg prata could reduce cognitive functioning. This reduces blood flow to the brain and increases oxidative stress that could easily damage parts of the brain.,-1,"High fat food could decrease the amount of SCFA producing bacteria in the gut, such as Bacteroidetes.",-1,Low-fibre and protein-rich prata could be associated with fatty liver disease according to a study on adults,0,"Egg
Gluten
Lactose","Halal
Pescetarian","Chapati
Pad Thai
Hokkien Mee","Breakfast
Lunch
Dinner","Popiah
Kebab burrito","Chapati
Papaer Thosai",
Fig,Figs mprove gut health by promoting balanced populations of beneficial bacteria in the gut. They may aid in lowering blood pressure and also preventing constipation.,1,1,Fig is high in FODMAP.,Y,Figs may inhibit the digestion and subsequently intake of dietary fats.,https://www.sciencedirect.com/science/article/pii/S1021949817300765,4,Consuming figs with meals can prevent blood sugar levels from spiking during and after eating.,"3 pieces (151.5 g) / serv

CHO = 28.77 g = 1.9 ex",https://pubmed.ncbi.nlm.nih.gov/31370154/,5,Figs have been found to decrease total and LDL cholesterol levels in laboratory animals.,https://pubmed.ncbi.nlm.nih.gov/33178838/,5,Sodium per serv = 1.5 mg,5,1,"Figs have vitamin B6, which is needed to produce serotonin, dopamine and GABA.",1,Pectic polysaccharides in figs have been shown to improve imbalanced gut microbiomes in obese mice.,1,Figs antioxidative effects protect the liver from oxidative damage.,1,N/A,"Halal
Pescetarian
Lacto-vegetarian
Lacto-ovo-vegetarian 
Ovo-vegetarian
Vegan","Watermelon
Blackberry
Asian Pear
Packham Pear
Persimmon
Plum","Breakfast
Snack",,,
Fish Ball Soup,"While fish ball soup is a lean source of protein, it is very high in sodium which would induce hypertension, a cardiovascular risk factor. High consumption of sodium may also cause our gut micrbiome to be imbalanced.",3,5,Fish ball soup has low FODMAP.,N,"Fish ball soup is incredibly high in sodium, one serving has 2421mg of sodium which already exceeds the recommended maximum intake of 2000mg of sodium. High sodium intake itself could be an obesity risk factor so fish ball soup is likely to cause weight gain.",https://pubmed.ncbi.nlm.nih.gov/26238447/,1,Fish ball soup barely has any fibre due to the lack of vegetables and carbphydrates. Lack of fibre has been associated with type 2 diabetes risk.,"1 bowl (523 g) / serv

CHO = 2.62 g = 0.2 ex",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6944853/,1,"With no saturated fats or refined carbohydrates, and with cholesterol-lowering bok choy and scallions - fish ball soup should be helpful for lowering elevated cholesterol levels. A clinical trial found that consumption of white fish significantly lowers LDL cholesterol.",https://pubmed.ncbi.nlm.nih.gov/24462043/,1,Sodium per serv = 2421.49 mg,1,1,Fish is a rich source of tryptophan which is used to make serotonin and GABA.,-1,"Fish ball soup has high sodium content which may induce gut dysbiosis, suppressing the population of SCFA-producing gut bacteria and SCFA production.",-1,High sodium intake has been associated with greater cardiovascular risk as it can lead to hypertension which is a cardiovascular risk factor.,0,Fish,Pescatarian,"Salmon
Prawn
Natural Yoghurt
Herbal Chicken Tonic
Beef Steak","Breakfast
Lunch
Dinner","Sliced fish soup
Yong tau foo
Bak kut teh
Double boiled soup
Milky fish soup","Tofu
Prawn
Salmon
Skinless Roasted Chicken
",
French Bean,"Fibre in french beans help lower cholesterol levels, and antioxidant carotenoids and phenolic compounds help prevent oxidation of cholesterol and decrease risk for coronary heart disease and high blood pressure.",4,5,French bean up to 75g is low in FODMAP.,Y,Studies show that higher consumption of legumes is associated with lower body mass index and that adding legumes to weight loss diets promotes weight loss.,https://sci-hub.se/10.1089/jmf.2011.0238,1,"The complex carbohydrates, fibre and protein in french beans slow glucose absorption, preventing spikes in blood sugar levels.","1 cup (177 g) / serv

CHO = 42.5 g = 2.8 ex",https://sci-hub.se/10.1089/jmf.2011.0238,5,French beans provide fibre and antioxidative vitamin C. Fibre helps to lower cholesterol levels and vitamin C prevents the formation of arterial plaque.,"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5713300/
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5000725/
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6566984/",5,Sodium per serv = 10.6 mg,5,1,Vitamin C in french beans is needed to make dopamine and serotonin.,1,Fermentable carbohydrates in french beans increase SCFA production when they are metabolised by the gut bacteria.,1,Phytochemicals and fibres in french beans give it cardioprotective effects.,1,Legumes,"Halal
Pescetarian
Lacto-vegetarian
Lacto-ovo-vegetarian 
Ovo-vegetarian
Vegan","Longbean
Broccoli
Cauliflower
Okra
Broad Bean","Lunch
Dinner",,,
French Fry,"Fried foods are notoriously detrimental to heart health. French fries are a source of trans fats which raise blood cholesterol levels. Furthermore, it promotes obesity as a high-calorie but low-nutrient food.",0,5,French fry is low FODMAP.,N,"French fries are deep-fried in oil and highly caloric. A typical 208-gram serving contains 600 calories, with about half of those calories as fat. As such, french fries are likely to promote weight gain, as numerous observational studies have reported, and are not a good choice for a weight loss diet.",https://fdc.nal.usda.gov/fdc-app.html#/food-details/536025/nutrients,1,French fries were associated with increased risk of type 2 diabetes in a large study concerning women.,"1 portion (107 g) / serv

CHO = 34.78 g = 2.3 ex",https://sci-hub.se/https://pubmed.ncbi.nlm.nih.gov/16469985/,1,"Trans fatty acids in french fries are associated with high blood pressure, a hyperlipidemia risk factor.",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4632424/,1,Sodium per serv = 286.76 mg,1,-1,Fried food are suggested to induce gut dysbiosis which is associated with depression.,-1,"Deep fried oil has been found to impair the balance of gut bacteria in laboratory experiments, leading to lower levels of butyrate-producing species.",-1,Acrylamide from french fries is associated with oxidative damage to the heart and liver.,0,N/A,"Halal
Pescetarian
Lacto-vegetarian
Lacto-ovo-vegetarian 
Ovo-vegetarian
Vegan","Purple Sweet Potato
White Potato
Yam","Lunch
Dinner
Snack","Yellow sweet potato
Pumpkin","Acai Bowl
Dark chocolate
White Fungus and Longan Soup",
Fried Chicken,"Fried and greasy food like fried chicken increase total cholesterol, decrease levels of HDL (good) cholesterol and increase blood pressure. Elevated cholesterol levels is a cardiovascular risk factor.",3,1,Chicken is low FODMAP but when fried it irritates the gut,N,High fat consumption is associated with gut dysbiosis which in turn is associated with increased risk of obesity.,"https://sci-hub.se/http://dx.doi.org/10.1136/gutjnl-2018-317609
https://academic.oup.com/femsec/article/94/5/fiy045/4939468",1,"In a study, those who ate fried food 4-6 times per week had a 39% higher risk for developing type 2 diabetes than those who ate it once a week.","1 portion (316 g) / serv

CHO = 0 g = 0 ex",https://www.hsph.harvard.edu/news/hsph-in-the-news/eating-fried-foods-tied-to-increased-risk-of-diabetes-and-heart-disease/,1,Fried chicken has a considerable amount of saturated fat which raises unhealthy LDL blood cholesterol.,https://www.mayoclinic.org/healthy-lifestyle/nutrition-and-healthy-eating/in-depth/fat/art-20045550,1,Sodium per serv = 1153.4 mg,1,-1,"While chicken contains tryptophan, the amino acid used to produce serotonin and GABA. However, frequent consumption of fried food is associated with depression.",-1,High fat consumption has been shown to significantly reduce the amount of short-chain fatty acids in the gut.,-1,"Chicken has moderate amounts of L-carnitine, a precursor of TMAO. Excessive intake may lead to production of TMAO, a metabolite made by our gut bacteria, and elevated levels of it has been associated with greater risks of cardiovascular diseases, type II diabetes, and obesity. Hence, it should not be eaten in high amounts.",0,Gluten,Halal,"Fish Ball Soup
Skinless Roasted Chicken
Herbal Chicken Tonic","Lunch
Dinner","Samgyetang
Chicken sopas
ABC soup","Tofu
Prawn
Salmon
Skinless Roasted Chicken
",
Fried Mee Siam,"Many of mee siam's ingredients like garlic, onion and chilli have heart-protective phytochemicals. But since it is fried, it's high fat content would override those heart-protective benefits by raising blood cholesterol levels, a cardiovascular risk. ",0,1,Fried mee siam is high FODMAP.,N,"As a fried food, fried mee siam is high in calories which can lead to excessive energy intake and weight gain. ",https://focos.hpb.gov.sg/eservices/ENCF/FoodAnalysis.aspx?p=1,1,Lower vegetable consumption and higher intakes of refined carbohydrates like bee hoon are associated with greater type 2 diabetes and pre-diabetes risk.,"1 portion (450 g) / serv

CHO = 82.8 g = 5.5 ex","https://pubmed.ncbi.nlm.nih.gov/15113714/
https://pubmed.ncbi.nlm.nih.gov/29204690/",1,"In preliminary research, it indicates that consuming fried food raises total and LDL cholesterols, and lowers healthy HDL cholesterol levels.",https://pubmed.ncbi.nlm.nih.gov/10395078/,1,Sodium per serv = 1278 mg,1,-1,Fried food are associated with increased risk of depression according to a study of 715 people.,-1,Fried food rich in fat can cause an imbalance in gut bacteria populations and decrease SCFA production.,-1,Fried mee siam is incredibly high in sodium and would encourage the development of high blood pressure. High blood pressure raises the risk of cardiovascular diseases and kidney failure.,0,"Shellfish
Soy
Eggs","Halal
Pescetarian","Char Kway Teow
Hokkien Mee","Breakfast
Lunch
Dinner","White bee hoon
Prawn noodles
Mee rebus","Lentil with Rice
Chicken Quinoa Salad with Vegetables
Brown Rice Noodle
Chickpea Curry",
Stir fried Tofu in Oyster Sauce,"Tofu is a great source of weight loss promoting fibre. However, it should be limited as this dish is coated in salty oyster sauce and has a high sodium content. High sodium consumption is associated with cardiovascular diseases.",4,5,Fried tofu in oyster sauce is low FODMAP.,Y,"The fibre, protein and isoflavones in tofu grant it weight loss effects.",https://www.mdpi.com/2072-6643/11/11/2790/htm,5,"Fried food promote obesity and insulin resistance. However, stir fried method uses lesser oil compared to deep fried. ","1 portion (177.84 g) / serv

CHO = 1.39 g = 0.09 ex","https://pubmed.ncbi.nlm.nih.gov/17616781/
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4095664/",5,"Fried food increase blood cholesterol levels, leading to hyperlipidemia.","https://pubmed.ncbi.nlm.nih.gov/34253560/
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3265571/",4,Sodium per serv = 816.29 mg,3,1,Tofu is a rich source of tryptophan from which serotonin and GABA are produced.,-1,The frying process creates trans fats that impair the gut microbiota.,1,"Fried food increase bile production but cause bile to have a thick, sluggish consistency that is prone to forming gallstones.",0,"Soy
Shellfish","Halal
Pescetarian","Broad Bean
Soybean
Black Bean","Breakfast
Lunch
Dinner","Tempeh
Soy milk",,
Garlic,"Antioxidants in garlic reduce blood pressure cholesterol, reducing the risk of heart disease. These antioxidants may also protect against neurodegenerative diseases like Alzheimer's disease.",2,1,Garlic is high in FODMAP.,Y,Garlic may have antiobesity effects by increasing basal metabolism and inhibiting the production of body fat cells.,https://pubmed.ncbi.nlm.nih.gov/21918057/,5,Garlic has displayed blood sugar lowering effects in numerous studies.,"2 cloves (9.2 g) / serv

CHO = 2.98 g = 0.2 ex",https://pubmed.ncbi.nlm.nih.gov/26693740/,5,Data shows that garlic lowers total cholesterol by as much as 12% by targetting LDL (bad) cholesterol while sparing HDL (good) cholesterol.,https://pubmed.ncbi.nlm.nih.gov/29718835/,5,Sodium per serv = 0.94 mg,5,1,Garlic essential oil elevated levels of serotonin and dopamine in rats.,1,"Prebiotic components in garlic stimulate growth of healthy bacteria, increasing SCFA production.",1,Research shows that garlic prevents the formation of gallstones which would impair fat digestion.,1,N/A,"Halal
Pescetarian
Lacto-vegetarian
Lacto-ovo-vegetarian 
Ovo-vegetarian
Vegan","Black Soybean
Broad Bean
Lima Bean
Leek
Shiitake Mushroom","Lunch
Dinner",,,
Ginger,Ginger may help lower blood cholesterol and pressure due to its high antioxidant content. These antioxidants may also delay cognitive decline and memory loss.,2,5,Ginger is low FODMAP.,Y,A review of studies reported that ginger supplements help to reduce body weight.,https://pubmed.ncbi.nlm.nih.gov/29393665/,5,"In a review of 14 studies, ginger was found to reduce blood sugar levels.","1 slice (2.2 g) / serv

CHO = 0.19 g = 0.01 ex",https://pubmed.ncbi.nlm.nih.gov/29393665/,5,"In a clinical trial, participants with elevated cholesterol levels who consumed 5g of ginger daily for 3 months had 17.4% lower LDL cholesterol levels at the end of the study.",https://www.longdom.org/open-access/effects-of-ginger-on-ldlc-total-cholesterol-and-body-weight-2471-2663-1000140..pdf,5,Sodium per serv = 0.07 mg,5,1,Laboratory animal studies show that ginger essential oil may increase serotonin levels in the brain.,1,"Ginger supported the growth of SCFA producing Bifidobacterium, Alloprevotella and Allobaculum in mice.",1,"In a review of 109 trials, ginger was suggested to improve digestive function.",1,N/A,"Halal
Pescetarian
Lacto-vegetarian
Lacto-ovo-vegetarian 
Ovo-vegetarian
Vegan","Ginseng
White Potato
Carrot","Lunch
Dinner","Turmeric
Galangal",,
Ginseng,"Ginseng's antioxidative effects may reduce the risk of cardiovascular diseases and diabetes. Furthermore, ginseng may prevent memory loss and mitigate mild cognitive impairments.",2,3,Ginseng is untested for FODMAP levels.,Y,"Ginseng may help suppress appetite and inhibit glucose absorption in the intestine, lowering energy intake as well.",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5766689/,5,Numerous clinical trials have shown modest blood sugar-lowering benefits of ginseng.,"(1 g) / serv

CHO = 0.62 g = 0.04 ex",https://pubmed.ncbi.nlm.nih.gov/25265315/,5,American ginseng's liver-protective benefits may help lower triglyceride levels. A clinical trial showed modest reduction in LDL cholesterol levels after 8 weeks of supplementation with American ginseng.,https://pubmed.ncbi.nlm.nih.gov/28666094/,5,Sodium per serv = 0.06 mg,5,1,Ginsenoside Rb(1) and compound K in ginseng may have anti-depressive effects.,1,"Long-term ginseng consumption in rats showed an increase in SCFA producing bacteria, such as Bifidobacterium, Lactobacillus, Allobaculum and Clostridium. ",1,Ginseng is protective against liver inflammation and liver fibrosis.,1,N/A,"Halal
Pescetarian
Lacto-vegetarian
Lacto-ovo-vegetarian 
Ovo-vegetarian
Vegan","Ginger
White Potato
Carrot","Lunch
Dinner
Beverage","Turmeric
Galangal",,
Green Guava,Guava is an excellent source of blood pressure-lowering potassium. Its dietary fiber also nourishes beneficial gut bacteria and promotes a diverse microbiome.,1,1,Green guava is high in FODMAP.,Y,Guava may have weight-lowering effects.,https://pubmed.ncbi.nlm.nih.gov/22691864/,1,"A study found guava extracts to lower post-meal blood glucose levels, possibly by slowing intestinal glucose absorption.","1 whole (325 g) / serv

CHO = 31.85 g = 2.12 ex",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6259140/,5,Antioxidants in guava may prevent arterial plaque formation by protecting against oxidation of cholesterol.,https://pubmed.ncbi.nlm.nih.gov/23315090/,5,Sodium per serv = 73.26 mg,5,1,Vitamin C found in guava is used for GABA and serotonin production.,1,"Guava stimulates growth of Lactobacillus and Bifidobacteria, which support other beneficial bacteria that produce butyrate.",1,Guava antioxidant and anti-inflammatory compounds protect the liver from damage when bile flow is reduced or impeded.,1,N/A,"Halal
Pescetarian
Lacto-vegetarian
Lacto-ovo-vegetarian 
Ovo-vegetarian
Vegan","Pear
Apple
Peach
Plum
Persimmon","Breakfast
Snack",,,
Green Tea,"Green tea's polyphenols have anti-oxidative effects which may confer cardioprotective benefits. Green tea is also a source of quercetin, it promotes gut microbiome diversity and supports the populations of beneficial gut bacteria.",5,5,Green tea is low FODMAP.,Y,Green tea has a minor impact on aiding weight loss and maintenance.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8406948/,5,A clinical trial found that green tea was more effective for controlling blood sugar than a popular diabetes drug in a group of overweight women.,"1 cup (250 g) / serv

CHO = 0.5 g = 0.03 ex",https://pubmed.ncbi.nlm.nih.gov/29415825/,5,In a clinical trial green tea consumption for 12 weeks significantly lowered cholesterol levels.,https://pubmed.ncbi.nlm.nih.gov/29415825/,5,Sodium per serv = 7.5 mg,5,1,Preliminary laboratory studies indicate that green tea may increase the activity and production of serotonin.,1,"Green tea polyphenol antioxidants are utilized by beneficial gut bacteria, which, in turn produces butyrate that benefits your intestinal health.",1,Green tea contain catechins which have been shown to have cardioprotective effects. They may help negate the cardiovascular risks associated with elevated levels of TMAO.,1,N/A,"Halal
Pescetarian
Lacto-vegetarian
Lacto-ovo-vegetarian 
Ovo-vegetarian
Vegan","Black Tea
Kombucha",Beverage,"White tea
Oolong tea
Herbal tea",,
Herbal Chicken Tonic,"Chicken cooked in herbal tonic, especially with its skin removed, is a lean source of protein. Chicken is also a source of phosphorus which is vital for bone building.",3,5,Herbal chicken is low FODMAP if made without garlic and onion.,N,Consuming chicken with adequate vegetable intake is associated with prevention of becoming overweight or obese.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4462824/,5,Consuming chicken with adequate vegetable intake is associated with prevention of type 2 diabetes.,"1 bowl soup (683 g) / serv

CHO = 8.71 g = 0.58 ex",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4462824/,3,"Chicken is low in saturated fatty acids, especially with the skin removed. Saturated fatty acids are associated with hyperlipidemia.",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4462824/,1,Sodium per serv = 2453 mg,2,1,"Chicken is high in tryptophan, which is used to produce serotonin and GABA.",1,"Chicken protein may support the population of short-chain fatty acid (SCFA) producing Lactobacillus bacteria. However, overconsumption may cause gut dysbiosis. Thus, chicken has to be eaten in moderation.",-1,"Chicken has moderate amounts of L-carnitine, a precursor of TMAO. Excessive intake may lead to production of TMAO, a metabolite made by our gut bacteria, and elevated levels of it has been associated with greater risks of cardiovascular diseases, type 2 diabetes, and obesity. Hence, it should not be eaten in high amounts.",0,N/A,Halal,"Fish Ball Soup
Skinless Roasted Chicken","Lunch
Dinner","Samgyetang
Chicken sopas
ABC soup","Tofu
Prawn
Salmon
Skinless Roasted Chicken
",
